127.0.0.1 - - [21/May/2018:11:26:16 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/web/index.html HTTP/1.1" 200 19244
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/css/common.css HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/css/bootstrap.min.css HTTP/1.1" 200 121261
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/css/fans.css HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/css/index.css HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/js/jquery.js HTTP/1.1" 200 268381
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/img/fan-head2.jpg HTTP/1.1" 200 48369
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/img/shanghai.jpg HTTP/1.1" 200 8526
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/img/beijing1.jpg HTTP/1.1" 200 8308
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/img/guangzhou.jpg HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/img/add.png HTTP/1.1" 200 18452
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/img/fan-head1.jpg HTTP/1.1" 200 56228
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/img/guangzhou1.jpg HTTP/1.1" 200 8759
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/img/2.png HTTP/1.1" 200 534474
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/img/fan-head.jpg HTTP/1.1" 200 86515
0:0:0:0:0:0:0:1 - - [21/May/2018:11:26:17 +0800] "GET /preWeather/weather/img/head.png HTTP/1.1" 200 719992
