127.0.0.1 - - [20/May/2018:11:26:33 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/web/detail.html HTTP/1.1" 200 13862
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/css/bootstrap.min.css HTTP/1.1" 200 121261
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/css/common.css HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/css/fans.css HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/css/detail1.css HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/css/index.css HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/js/jquery.js HTTP/1.1" 200 268381
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/js/echarts.js HTTP/1.1" 200 2542140
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/img/fan-head2.jpg HTTP/1.1" 200 48369
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/img/beijing1.jpg HTTP/1.1" 200 8308
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/img/guangzhou.jpg HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/img/shanghai.jpg HTTP/1.1" 200 8526
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/img/add.png HTTP/1.1" 200 18452
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:34 +0800] "GET /preWeather/weather/img/fan-head.jpg HTTP/1.1" 200 86515
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:35 +0800] "GET /preWeather/weather/img/head.png HTTP/1.1" 200 719992
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:35 +0800] "GET /preWeather/weather/img/movie1.mp4 HTTP/1.1" 200 788493
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:35 +0800] "GET /preWeather/weather/img/movie1.mp4 HTTP/1.1" 206 18445
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:35 +0800] "GET /preWeather/weather/img/movie1.mp4 HTTP/1.1" 206 729088
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:51 +0800] "GET /preWeather/weather/web/detail.html HTTP/1.1" 200 13862
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:51 +0800] "GET /preWeather/weather/css/bootstrap.min.css HTTP/1.1" 200 121261
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:51 +0800] "GET /preWeather/weather/css/fans.css HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:51 +0800] "GET /preWeather/weather/css/common.css HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:51 +0800] "GET /preWeather/weather/css/index.css HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:51 +0800] "GET /preWeather/weather/css/detail1.css HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:51 +0800] "GET /preWeather/weather/js/echarts.js HTTP/1.1" 200 2542140
0:0:0:0:0:0:0:1 - - [20/May/2018:11:26:51 +0800] "GET /preWeather/weather/js/jquery.js HTTP/1.1" 200 268381
